,count,mean,std,min,25%,50%,75%,max
constellationType6-svid33-basebandCn0DbHz,244244.0,10.611901208518466,15.676836316216885,0.0,0.0,0.0,27.0,44.099998474121094
constellationType6-svid33-carrierFrequencyHz,244244.0,1575420032.0,0.0,1575420032.0,1575420032.0,1575420032.0,1575420032.0,1575420032.0
constellationType6-svid12-azimuthDegrees,203062.0,162.3579005426914,114.75584169263554,0.0,5.0,196.0,263.0,301.0
constellationType6-svid12-elevationDegrees,203062.0,39.357112606002104,28.521927274937838,0.0,13.0,33.0,66.0,89.0
constellationType6-svid12-cn0DbHz,203062.0,12.426140779111876,15.87384033701251,0.0,0.0,0.0,31.700000762939453,39.099998474121094
constellationType6-svid12-basebandCn0DbHz,203062.0,11.07893155173922,14.190738351002846,0.0,0.0,0.0,28.200000762939453,35.599998474121094
constellationType6-svid12-carrierFrequencyHz,203062.0,1575420032.0,0.0,1575420032.0,1575420032.0,1575420032.0,1575420032.0,1575420032.0
constellationType6-svid4-azimuthDegrees,290760.0,185.78127665428534,82.09138466565123,45.0,101.0,215.0,239.0,322.0
constellationType6-svid4-elevationDegrees,290760.0,36.231476131517404,18.865869626677995,1.0,20.0,37.0,54.0,64.0
constellationType6-svid4-cn0DbHz,290760.0,16.95116660035711,19.047979949457645,0.0,0.0,0.0,37.5,47.599998474121094
constellationType6-svid4-basebandCn0DbHz,290760.0,15.37903150427471,17.334851351702916,0.0,0.0,0.0,34.0,44.099998474121094
constellationType6-svid4-carrierFrequencyHz,290760.0,1575420032.0,0.0,1575420032.0,1575420032.0,1575420032.0,1575420032.0,1575420032.0
constellationType6-svid10-azimuthDegrees,204156.0,261.45354532808244,57.900150029480216,0.0,221.0,251.0,310.0,359.0
constellationType6-svid10-elevationDegrees,204156.0,34.47331452418739,26.898630831539293,0.0,10.0,33.0,61.0,76.0
constellationType6-svid10-cn0DbHz,204156.0,16.678619293208108,17.854439708731757,0.0,0.0,0.0,36.400001525878906,44.29999923706055
constellationType6-svid10-basebandCn0DbHz,204156.0,15.02064695223556,16.13659833064332,0.0,0.0,0.0,32.900001525878906,40.79999923706055
